,0,1,2,3,4,5,6,7,8,9
39,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625,127.4765625
40,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125,11.5703125
41,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625,7.4140625
42,90.078125,90.078125,90.078125,90.078125,90.078125,90.078125,90.078125,90.078125,90.078125,90.078125
43,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625,254.0390625
44,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625,9.2890625
45,31.890625,31.890625,31.890625,31.890625,31.890625,31.890625,31.890625,31.890625,31.890625,31.890625
46,12.40625,12.40625,12.40625,12.40625,12.40625,12.40625,12.40625,12.40625,12.40625,12.40625
47,48.828125,48.828125,48.828125,48.828125,48.828125,48.828125,48.828125,48.828125,48.828125,48.828125
48,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125,32.0078125
49,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625,56.7265625
50,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125,171.5078125
51,30.390625,30.390625,30.390625,30.390625,30.390625,30.390625,30.390625,30.390625,30.390625,30.390625
52,3.78125,3.78125,3.78125,3.78125,3.78125,3.78125,3.78125,3.78125,3.78125,3.78125
53,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125,18.8828125
54,94.640625,94.640625,94.640625,94.640625,94.640625,94.640625,94.640625,94.640625,94.640625,94.640625
55,37.765625,37.765625,37.765625,37.765625,37.765625,37.765625,37.765625,37.765625,37.765625,37.765625
56,7.578125,7.578125,7.578125,7.578125,7.578125,7.578125,7.578125,7.578125,7.578125,7.578125
57,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875,111.081796875
58,125.15625,125.15625,125.15625,125.15625,125.15625,125.15625,125.15625,125.15625,125.15625,125.15625
